"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs55675132-<b>C</b>,"2 x 10-6",,NR,1.0638298,'-,[NR],TSPAN2,Schizophrenia,schizophrenia,'-,GCST003048,1:115077013
rs55833108-<b>T</b>,"1 x 10-8",,NR,1.08,'-,[NR],CNNM2,Schizophrenia,schizophrenia,'-,GCST003048,10:102981826
rs55834529-<b>A</b>,"9 x 10-27",,NR,1.24,'-,[NR],'-,Schizophrenia,schizophrenia,'-,GCST003048,"Mapping not available"
rs56038139-<b>G</b>,"2 x 10-7",,NR,1.1111112,'-,[NR],ARHGEF26,Schizophrenia,schizophrenia,'-,GCST003048,3:154245185
rs56145559-<b>T</b>,"1 x 10-7",,NR,1.07,'-,[NR],ALMS1,Schizophrenia,schizophrenia,'-,GCST003048,2:73396311
rs56205728-<b>A</b>,"9 x 10-8",,NR,1.07,'-,[NR],PAK6,Schizophrenia,schizophrenia,'-,GCST003048,15:40275036
rs56775891-<b>T</b>,"9 x 10-8",,NR,1.06,'-,[NR],"CTDP1, KCNG2",Schizophrenia,schizophrenia,'-,GCST003048,18:79815613
rs56873913-<b>T</b>,"3 x 10-7",,NR,1.07,'-,[NR],"PRRG2, NOSIP",Schizophrenia,schizophrenia,'-,GCST003048,19:49587942
rs5749696-<b>C</b>,"7 x 10-6",,NR,1.0526316,'-,[NR],YPEL1,Schizophrenia,schizophrenia,'-,GCST003048,22:21709048
rs57549656-<b>G</b>,"5 x 10-7",,NR,1.0638298,'-,[NR],GNG7,Schizophrenia,schizophrenia,'-,GCST003048,19:2687653
rs5757717-<b>C</b>,"6 x 10-10",,NR,1.0752687,'-,[NR],"RPS19BP1, CACNA1I",Schizophrenia,schizophrenia,'-,GCST003048,22:39546229
rs5769765-<b>G</b>,"2 x 10-7",,NR,1.0638298,'-,[NR],ZBED4,Schizophrenia,schizophrenia,'-,GCST003048,22:49877528
rs582580-<b>G</b>,"3 x 10-6",,NR,1.0526316,'-,[NR],"BATF2, ARL2",Schizophrenia,schizophrenia,'-,GCST003048,11:65004475
rs58605417-<b>G</b>,"6 x 10-7",,NR,1.0638298,'-,[NR],MMP16,Schizophrenia,schizophrenia,'-,GCST003048,8:88282093
rs58950470-<b>T</b>,"3 x 10-6",,NR,1.05,'-,[NR],PCNX3,Schizophrenia,schizophrenia,'-,GCST003048,11:65616284
rs59888335-<b>T</b>,"5 x 10-6",,NR,1.05,'-,[NR],'-,Schizophrenia,schizophrenia,'-,GCST003048,3:80610899
rs59979824-<b>C</b>,"2 x 10-8",,NR,1.0638298,'-,[NR],"PCGEM1, SLC44A3P1",Schizophrenia,schizophrenia,'-,GCST003048,2:192983614
rs6002655-<b>T</b>,"6 x 10-10",,NR,1.07,'-,[NR],TCF20,Schizophrenia,schizophrenia,'-,GCST003048,22:42207808
rs114200269-<b>T</b>,"2 x 10-19",,NR,1.23,'-,[NR],"UBQLN1P1, MICC",Schizophrenia,schizophrenia,'-,GCST003048,6:30368886
rs1144403-<b>A</b>,"8 x 10-6",,NR,1.05,'-,[NR],"CASP12, LINC02552",Schizophrenia,schizophrenia,'-,GCST003048,11:104807143
rs114473235-<b>A</b>,"8 x 10-7",,NR,1.07,'-,[NR],"TSBP1, TSBP1-AS1",Schizophrenia,schizophrenia,'-,GCST003048,6:32317765
rs114540395-<b>T</b>,"1 x 10-6",,NR,1.1,'-,[NR],"FBXW4, FGF8",Schizophrenia,schizophrenia,'-,GCST003048,10:101719305
rs114726755-<b>T</b>,"3 x 10-6",,NR,1.1627907,'-,[NR],CRB1,Schizophrenia,schizophrenia,'-,GCST003048,1:197324293
rs11597473-<b>G</b>,"1 x 10-6",,NR,1.0638298,'-,[NR],NEURL1,Schizophrenia,schizophrenia,'-,GCST003048,10:103559284
rs11599218-<b>G</b>,"4 x 10-6",,NR,1.0638298,'-,[NR],CFAP58,Schizophrenia,schizophrenia,'-,GCST003048,10:104445317
rs11603151-<b>A</b>,"7 x 10-6",,NR,1.05,'-,[NR],LINC02706,Schizophrenia,schizophrenia,'-,GCST003048,11:134654555
rs11616416-<b>A</b>,"7 x 10-6",,NR,1.06,'-,[NR],MTUS2,Schizophrenia,schizophrenia,'-,GCST003048,13:29262114
rs11617058-<b>T</b>,"1 x 10-6",,NR,1.07,'-,[NR],'-,Schizophrenia,schizophrenia,'-,GCST003048,13:84718977
rs11625793-<b>G</b>,"5 x 10-7",,NR,1.0526316,'-,[NR],NCOA4P1,Schizophrenia,schizophrenia,'-,GCST003048,14:65849165
rs11680328-<b>T</b>,"1 x 10-6",,NR,1.0752687,'-,[NR],"MSGN1, KCNS3",Schizophrenia,schizophrenia,'-,GCST003048,2:17856540
rs11682175-<b>C</b>,"1 x 10-12",,NR,1.0752687,'-,[NR],ACTG1P22,Schizophrenia,schizophrenia,'-,GCST003048,2:57760458
rs11685299-<b>C</b>,"4 x 10-8",,NR,1.0638298,'-,[NR],CUL3,Schizophrenia,schizophrenia,'-,GCST003048,2:224526579
rs11690935-<b>G</b>,"6 x 10-6",,NR,1.0526316,'-,[NR],"DYNC1I2, RPL21P38",Schizophrenia,schizophrenia,'-,GCST003048,2:171676795
rs11693094-<b>C</b>,"4 x 10-12",,NR,1.0752687,'-,[NR],ZNF804A,Schizophrenia,schizophrenia,'-,GCST003048,2:184736693
rs117074560-<b>C</b>,"5 x 10-9",,NR,1.1764705,'-,[NR],"KRT18P50, FUT9",Schizophrenia,schizophrenia,'-,GCST003048,6:96011775
rs11712112-<b>A</b>,"4 x 10-6",,NR,1.08,'-,[NR],MGLL,Schizophrenia,schizophrenia,'-,GCST003048,3:128023522
rs11717383-<b>G</b>,"3 x 10-9",,NR,1.0638298,'-,[NR],"WDR82, PPM1M",Schizophrenia,schizophrenia,'-,GCST003048,3:52253452
rs11730701-<b>G</b>,"1 x 10-6",,NR,1.0526316,'-,[NR],'-,Schizophrenia,schizophrenia,'-,GCST003048,4:24130930
rs117358016-<b>A</b>,"8 x 10-6",,NR,1.16,'-,[NR],HS6ST3,Schizophrenia,schizophrenia,'-,GCST003048,13:96514229
rs11740474-<b>T</b>,"5 x 10-8",,NR,1.0638298,'-,[NR],GALNT10,Schizophrenia,schizophrenia,'-,GCST003048,5:154301187
rs117488988-<b>A</b>,"5 x 10-6",,NR,1.08,'-,[NR],KRT18P50,Schizophrenia,schizophrenia,'-,GCST003048,6:95898699
rs117509195-<b>G</b>,"5 x 10-6",,NR,1.1764705,'-,[NR],LINC00301,Schizophrenia,schizophrenia,'-,GCST003048,11:60619545
rs117578877-<b>T</b>,"9 x 10-7",,NR,1.15,'-,[NR],GRIN2B,Schizophrenia,schizophrenia,'-,GCST003048,12:13528544
rs10967586-<b>G</b>,"5 x 10-7",,NR,1.0869565,'-,[NR],RN7SL100P,Schizophrenia,schizophrenia,'-,GCST003048,9:26895810
rs11004008-<b>G</b>,"2 x 10-6",,NR,1.0526316,'-,[NR],PCDH15,Schizophrenia,schizophrenia,'-,GCST003048,10:54025428
rs11006253-<b>A</b>,"2 x 10-6",,NR,1.06,'-,[NR],BICC1,Schizophrenia,schizophrenia,'-,GCST003048,10:58759688
rs11039131-<b>C</b>,"4 x 10-6",,NR,1.0526316,'-,[NR],"DDB2, PACSIN3",Schizophrenia,schizophrenia,'-,GCST003048,11:47210487
rs11044946-<b>T</b>,"8 x 10-6",,NR,1.1,'-,[NR],TCP1P3,Schizophrenia,schizophrenia,'-,GCST003048,12:19928401
rs11063421-<b>T</b>,"5 x 10-6",,NR,1.08,'-,[NR],"KCNA5, KCNA1",Schizophrenia,schizophrenia,'-,GCST003048,12:4949227
rs11064837-<b>A</b>,"7 x 10-6",,NR,1.06,'-,[NR],"CCDC60, TMEM233",Schizophrenia,schizophrenia,'-,GCST003048,12:119579901
rs1106568-<b>G</b>,"7 x 10-9",,NR,1.0752687,'-,[NR],GPM6A,Schizophrenia,schizophrenia,'-,GCST003048,4:175940150
rs1108252-<b>T</b>,"3 x 10-7",,NR,1.08,'-,[NR],"GIGYF2, EFHD1",Schizophrenia,schizophrenia,'-,GCST003048,2:232688857
rs11104379-<b>G</b>,"5 x 10-7",,NR,1.0638298,'-,[NR],RPL23AP68,Schizophrenia,schizophrenia,'-,GCST003048,12:87266212
rs111294930-<b>A</b>,"4 x 10-9",,NR,1.09,'-,[NR],LINC01470,Schizophrenia,schizophrenia,'-,GCST003048,5:152797561
rs11139497-<b>A</b>,"2 x 10-9",,NR,1.07,'-,[NR],DDX10P2,Schizophrenia,schizophrenia,'-,GCST003048,9:82125026
rs111547017-<b>A</b>,"1 x 10-6",,NR,1.1,'-,[NR],"ABCC10, ZNF318",Schizophrenia,schizophrenia,'-,GCST003048,6:43373951
rs11156875-<b>A</b>,"3 x 10-7",,NR,1.07,'-,[NR],PRORP,Schizophrenia,schizophrenia,'-,GCST003048,14:35150610
rs111803315-<b>G</b>,"3 x 10-6",,NR,1.1111112,'-,[NR],JKAMP,Schizophrenia,schizophrenia,'-,GCST003048,14:59498575
rs11191419-<b>T</b>,"3 x 10-18",,NR,1.098901,'-,[NR],"PTGES3P4, BORCS7",Schizophrenia,schizophrenia,'-,GCST003048,10:102852578
rs11215609-<b>T</b>,"9 x 10-6",,NR,1.26,'-,[NR],"RPL12P46, LINC02698",Schizophrenia,schizophrenia,'-,GCST003048,11:115593028
rs11231629-<b>C</b>,"1 x 10-6",,NR,1.0526316,'-,[NR],MARK2,Schizophrenia,schizophrenia,'-,GCST003048,11:63881101
rs112509803-<b>C</b>,"7 x 10-7",,NR,1.09,'-,[NR],"MPP6, GSDME",Schizophrenia,schizophrenia,'-,GCST003048,7:24695385
rs112537273-<b>T</b>,"2 x 10-7",,NR,1.07,'-,[NR],LETM2,Schizophrenia,schizophrenia,'-,GCST003048,8:38390788
rs112627313-<b>A</b>,"4 x 10-6",,NR,1.07,'-,[NR],U3,Schizophrenia,schizophrenia,'-,GCST003048,3:45288559
rs11264213-<b>A</b>,"3 x 10-6",,NR,1.09,'-,[NR],AGO4,Schizophrenia,schizophrenia,'-,GCST003048,1:35818353
rs112973353-<b>T</b>,"1 x 10-8",,NR,1.11,'-,[NR],"TDRD9, ASPG",Schizophrenia,schizophrenia,'-,GCST003048,14:104071343
rs113731670-<b>C</b>,"2 x 10-6",,NR,1.1627907,'-,[NR],LINC02828,Schizophrenia,schizophrenia,'-,GCST003048,6:24738159
rs114042773-<b>C</b>,"9 x 10-7",,NR,1.1904762,'-,[NR],"RPSAP37, LINC02240",Schizophrenia,schizophrenia,'-,GCST003048,5:125639572
rs117799466-<b>C</b>,"2 x 10-6",,NR,1.06,'-,[NR],"ACTG1P15, LPCAT4",Schizophrenia,schizophrenia,'-,GCST003048,15:34367316
rs11784536-<b>A</b>,"5 x 10-6",,NR,1.06,'-,[NR],IQANK1,Schizophrenia,schizophrenia,'-,GCST003048,8:143756977
rs11785400-<b>T</b>,"8 x 10-7",,NR,1.06,'-,[NR],"ARC, JRK",Schizophrenia,schizophrenia,'-,GCST003048,8:142649072
rs11790388-<b>G</b>,"2 x 10-6",,NR,1.0752687,'-,[NR],RALGPS1,Schizophrenia,schizophrenia,'-,GCST003048,9:126978004
rs11807834-<b>A</b>,"8 x 10-7",,NR,1.06,'-,[NR],GALNT2,Schizophrenia,schizophrenia,'-,GCST003048,1:230136877
rs118162387-<b>G</b>,"9 x 10-6",,NR,1.1627907,'-,[NR],"HTR3A, HTR3B",Schizophrenia,schizophrenia,'-,GCST003048,11:113949306
rs11874716-<b>T</b>,"6 x 10-11",,NR,1.07,'-,[NR],LINC01929,Schizophrenia,schizophrenia,'-,GCST003048,18:55083457
rs1191551-<b>T</b>,"8 x 10-8",,NR,1.07,'-,[NR],"PRKD1, RNU11-5P",Schizophrenia,schizophrenia,'-,GCST003048,14:29531199
rs11982256-<b>T</b>,"1 x 10-7",,NR,1.1627907,'-,[NR],DMTF1,Schizophrenia,schizophrenia,'-,GCST003048,7:87170125
rs12069356-<b>A</b>,"2 x 10-6",,NR,1.05,'-,[NR],"KCNN3, PMVK",Schizophrenia,schizophrenia,'-,GCST003048,1:154877295
rs1210898-<b>T</b>,"3 x 10-6",,NR,1.1,'-,[NR],EBNA1BP2,Schizophrenia,schizophrenia,'-,GCST003048,1:43259573
rs12129719-<b>A</b>,"1 x 10-6",,NR,1.05,'-,[NR],PDE4B,Schizophrenia,schizophrenia,'-,GCST003048,1:65858829
rs12129731-<b>T</b>,"6 x 10-6",,NR,1.06,'-,[NR],LINC01776,Schizophrenia,schizophrenia,'-,GCST003048,1:98222135
rs12138061-<b>A</b>,"6 x 10-6",,NR,1.06,'-,[NR],ELAVL4,Schizophrenia,schizophrenia,'-,GCST003048,1:50106424
rs12139672-<b>G</b>,"4 x 10-7",,NR,1.0638298,'-,[NR],'-,Schizophrenia,schizophrenia,'-,GCST003048,1:190971497
rs12142465-<b>C</b>,"2 x 10-7",,NR,1.0638298,'-,[NR],SLC45A1,Schizophrenia,schizophrenia,'-,GCST003048,1:8329994
rs12148337-<b>T</b>,"3 x 10-8",,NR,1.06,'-,[NR],'-,Schizophrenia,schizophrenia,'-,GCST003048,15:70296933
rs12190758-<b>G</b>,"3 x 10-7",,NR,1.0638298,'-,[NR],"U3, LINC02531",Schizophrenia,schizophrenia,'-,GCST003048,6:92438623
rs12193070-<b>A</b>,"7 x 10-6",,NR,1.06,'-,[NR],LINC02549,Schizophrenia,schizophrenia,'-,GCST003048,6:68309831
rs12195417-<b>C</b>,"5 x 10-6",,NR,1.0526316,'-,[NR],"ME1, PRSS35",Schizophrenia,schizophrenia,'-,GCST003048,6:83463309
rs12332385-<b>T</b>,"2 x 10-6",,NR,1.0526316,'-,[NR],CCDC192,Schizophrenia,schizophrenia,'-,GCST003048,5:127878652
rs12360997-<b>G</b>,"2 x 10-8",,NR,1.0638298,'-,[NR],Y_RNA,Schizophrenia,schizophrenia,'-,GCST003048,11:24364023
rs12421382-<b>C</b>,"4 x 10-8",,NR,1.0638298,'-,[NR],C11orf87,Schizophrenia,schizophrenia,'-,GCST003048,11:109507345
rs12431204-<b>A</b>,"4 x 10-6",,NR,1.05,'-,[NR],"LINC02334, TRPC4",Schizophrenia,schizophrenia,'-,GCST003048,13:37876098
rs12431410-<b>C</b>,"6 x 10-7",,NR,1.0526316,'-,[NR],RTN1,Schizophrenia,schizophrenia,'-,GCST003048,14:59699304
rs10262624-<b>C</b>,"2 x 10-6",,NR,1.0526316,'-,[NR],STK31,Schizophrenia,schizophrenia,'-,GCST003048,7:23876057
rs1033023-<b>A</b>,"2 x 10-7",,NR,1.06,'-,[NR],'-,Schizophrenia,schizophrenia,'-,GCST003048,1:239045834
rs1033394-<b>C</b>,"1 x 10-6",,NR,1.0638298,'-,[NR],HDAC2-AS2,Schizophrenia,schizophrenia,'-,GCST003048,6:114392159
rs1040393-<b>C</b>,"7 x 10-6",,NR,1.0638298,'-,[NR],"TADA1, ILDR2",Schizophrenia,schizophrenia,'-,GCST003048,1:166892359
rs10425465-<b>T</b>,"3 x 10-8",,NR,1.07,'-,[NR],PEPD,Schizophrenia,schizophrenia,'-,GCST003048,19:33407028
rs1042992-<b>T</b>,"2 x 10-7",,NR,1.07,'-,[NR],BNIP3L,Schizophrenia,schizophrenia,'-,GCST003048,8:26411675
rs10446497-<b>G</b>,"9 x 10-6",,NR,1.0526316,'-,[NR],PAK2,Schizophrenia,schizophrenia,'-,GCST003048,3:196819658
rs10503253-<b>A</b>,"1 x 10-8",,NR,1.07,'-,[NR],CSMD1,Schizophrenia,schizophrenia,'-,GCST003048,8:4323322
rs10520163-<b>T</b>,"1 x 10-8",,NR,1.06,'-,[NR],CLCN3,Schizophrenia,schizophrenia,'-,GCST003048,4:169705401
rs10745841-<b>C</b>,"1 x 10-6",,NR,1.05,'-,[NR],ANKS1B,Schizophrenia,schizophrenia,'-,GCST003048,12:99099957
rs10777165-<b>C</b>,"7 x 10-6",,NR,1.0526316,'-,[NR],POC1B,Schizophrenia,schizophrenia,'-,GCST003048,12:89447088
rs10783624-<b>C</b>,"2 x 10-6",,NR,1.0526316,'-,[NR],LINC02406,Schizophrenia,schizophrenia,'-,GCST003048,12:39129105
rs10788251-<b>C</b>,"4 x 10-6",,NR,1.0869565,'-,[NR],TACC2,Schizophrenia,schizophrenia,'-,GCST003048,10:122142449
rs10791097-<b>T</b>,"2 x 10-12",,NR,1.08,'-,[NR],'-,Schizophrenia,schizophrenia,'-,GCST003048,"Mapping not available"
rs10838634-<b>A</b>,"5 x 10-8",,NR,1.1,'-,[NR],LRP4,Schizophrenia,schizophrenia,'-,GCST003048,11:46908403
rs10849689-<b>A</b>,"6 x 10-6",,NR,1.07,'-,[NR],C12orf76,Schizophrenia,schizophrenia,'-,GCST003048,12:110055417
rs10853575-<b>T</b>,"3 x 10-6",,NR,1.05,'-,[NR],"DYM, SMAD7",Schizophrenia,schizophrenia,'-,GCST003048,18:49033349
rs10860964-<b>T</b>,"9 x 10-8",,NR,1.06,'-,[NR],C12orf42,Schizophrenia,schizophrenia,'-,GCST003048,12:103202677
rs10862476-<b>G</b>,"8 x 10-6",,NR,1.0526316,'-,[NR],"ZDHHC17, RPL7P43",Schizophrenia,schizophrenia,'-,GCST003048,12:76740025
rs10878577-<b>A</b>,"6 x 10-7",,NR,1.06,'-,[NR],"RAB11AP2, GGTA2P",Schizophrenia,schizophrenia,'-,GCST003048,12:67200061
rs10883832-<b>T</b>,"2 x 10-16",,NR,1.16,'-,[NR],NT5C2,Schizophrenia,schizophrenia,'-,GCST003048,10:103111522
rs10890032-<b>T</b>,"7 x 10-11",,NR,1.07,'-,[NR],LINC01360,Schizophrenia,schizophrenia,'-,GCST003048,1:73323641
rs10891354-<b>C</b>,"8 x 10-6",,NR,1.0526316,'-,[NR],"LINC02763, LINC02762",Schizophrenia,schizophrenia,'-,GCST003048,11:112392780
rs10932194-<b>G</b>,"4 x 10-6",,NR,1.0526316,'-,[NR],CREB1,Schizophrenia,schizophrenia,'-,GCST003048,2:207465706
rs10967505-<b>A</b>,"4 x 10-7",,NR,1.09,'-,[NR],'-,Schizophrenia,schizophrenia,'-,GCST003048,9:26737658
rs12738007-<b>?</b>,"2 x 10-6",,0.056,1.9,'-,[1.44-2.46],MECR,Schizophrenia,schizophrenia,'-,GCST003190,1:29195193
rs10883795-<b>?</b>,"8 x 10-10",,'-,1.15,'-,[1.10-1.20],"BORCS7-ASMT, AS3MT",Schizophrenia,schizophrenia,'-,GCST003880,10:102894820
rs13268772-<b>?</b>,"9 x 10-6",,'-,1.13,'-,[1.08-1.18],CSMD1,Schizophrenia,schizophrenia,'-,GCST003880,8:3362037
rs4073405-<b>?</b>,"1 x 10-6",,'-,1.01,'-,[0.96-1.04],"LINC02696, SYT13",Schizophrenia,schizophrenia,'-,GCST003880,11:45302302
rs12561919-<b>?</b>,"2 x 10-7",,'-,1.22,'-,[1.13-1.31],C1orf167,Schizophrenia,schizophrenia,'-,GCST003880,1:11779866
rs1051061-<b>?</b>,"1 x 10-10",,'-,1.17,'-,[1.12-1.22],VRK2,Schizophrenia,schizophrenia,'-,GCST003880,2:58089679
rs10077591-<b>?</b>,"6 x 10-7",,'-,1.09,'-,[1.16-1.22],"RPL7P20, PGAM1P1",Schizophrenia,schizophrenia,'-,GCST003880,5:165935005
rs115070292-<b>?</b>,"5 x 10-10",,'-,1.3,'-,[1.22-1.38],GABBR1,Schizophrenia,schizophrenia,'-,GCST003880,6:29563197
rs12949688-<b>?</b>,"7 x 10-6",,'-,1.07,'-,[1.04-1.10],"CCDC182, RN7SKP94",Schizophrenia,schizophrenia,'-,GCST003880,17:57748340
rs10883765-<b>?</b>,"3 x 10-9",,'-,1.0869565,'-,[1.04-1.13],ARL3,Schizophrenia,schizophrenia,'-,GCST003880,10:102696929
rs72934570-<b>C</b>,"7 x 10-13",,NR,1.1627907,'-,[NR],"LINC01415, LINC01416",Schizophrenia,schizophrenia,'-,GCST003048,18:55865958
rs72963233-<b>C</b>,"4 x 10-6",,NR,1.1235955,'-,[NR],'-,Schizophrenia,schizophrenia,'-,GCST003048,18:34349283
rs72975629-<b>C</b>,"4 x 10-6",,NR,1.0869565,'-,[NR],'-,Schizophrenia,schizophrenia,'-,GCST003048,3:135767692
rs72986630-<b>T</b>,"2 x 10-8",,NR,1.16,'-,[NR],ZNF823,Schizophrenia,schizophrenia,'-,GCST003048,19:11738921
rs7303433-<b>G</b>,"3 x 10-6",,NR,1.1111112,'-,[NR],SOX5,Schizophrenia,schizophrenia,'-,GCST003048,12:23487545
rs73044404-<b>G</b>,"5 x 10-6",,NR,1.0752687,'-,[NR],CACNA1C,Schizophrenia,schizophrenia,'-,GCST003048,12:2026283
rs73060317-<b>T</b>,"8 x 10-7",,NR,1.06,'-,[NR],SP4,Schizophrenia,schizophrenia,'-,GCST003048,7:21480594
rs7314326-<b>A</b>,"1 x 10-6",,NR,1.06,'-,[NR],SOX5,Schizophrenia,schizophrenia,'-,GCST003048,12:23954663
rs73191547-<b>T</b>,"4 x 10-8",,NR,1.0638298,'-,[NR],MSRA,Schizophrenia,schizophrenia,'-,GCST003048,8:10175915
rs73201076-<b>C</b>,"1 x 10-6",,NR,1.0869565,'-,[NR],IMMP2L,Schizophrenia,schizophrenia,'-,GCST003048,7:111135343
rs73229090-<b>C</b>,"2 x 10-8",,NR,1.098901,'-,[NR],GULOP,Schizophrenia,schizophrenia,'-,GCST003048,8:27584610
rs73388146-<b>G</b>,"7 x 10-9",,NR,1.1494253,'-,[NR],CMAHP,Schizophrenia,schizophrenia,'-,GCST003048,6:25170440
rs73396800-<b>G</b>,"4 x 10-16",,NR,1.1904762,'-,[NR],"HLA-DMB, HLA-DMA",Schizophrenia,schizophrenia,'-,GCST003048,6:32946949
rs73405966-<b>T</b>,"9 x 10-6",,NR,1.06,'-,[NR],CUX1,Schizophrenia,schizophrenia,'-,GCST003048,7:102032019
rs7372960-<b>T</b>,"7 x 10-8",,NR,1.07,'-,[NR],FOXP1,Schizophrenia,schizophrenia,'-,GCST003048,3:71205600
rs7383287-<b>A</b>,"1 x 10-7",,NR,1.07,'-,[NR],HLA-DOB,Schizophrenia,schizophrenia,'-,GCST003048,6:32815309
rs7405404-<b>T</b>,"1 x 10-10",,NR,1.08,'-,[NR],'-,Schizophrenia,schizophrenia,'-,GCST003048,"Mapping not available"
rs74338693-<b>G</b>,"7 x 10-6",,NR,1.0638298,'-,[NR],SCN1A-AS1,Schizophrenia,schizophrenia,'-,GCST003048,2:165957215
rs74804370-<b>C</b>,"2 x 10-7",,NR,1.1494253,'-,[NR],'-,Schizophrenia,schizophrenia,'-,GCST003048,8:34141053
rs75059851-<b>A</b>,"7 x 10-12",,NR,1.1,'-,[NR],IGSF9B,Schizophrenia,schizophrenia,'-,GCST003048,11:133952674
rs75080020-<b>T</b>,"6 x 10-6",,NR,1.13,'-,[NR],EIF4E2P2,Schizophrenia,schizophrenia,'-,GCST003048,3:115264809
rs7521492-<b>A</b>,"4 x 10-7",,NR,1.06,'-,[NR],'-,Schizophrenia,schizophrenia,'-,GCST003048,1:163758686
rs7521837-<b>T</b>,"9 x 10-6",,NR,1.06,'-,[NR],"RNU6-239P, HAX1",Schizophrenia,schizophrenia,'-,GCST003048,1:154280384
rs7523273-<b>A</b>,"4 x 10-7",,NR,1.06,'-,[NR],MIR29B2CHG,Schizophrenia,schizophrenia,'-,GCST003048,1:207803738
rs7529073-<b>C</b>,"6 x 10-7",,NR,1.0526316,'-,[NR],PROX1-AS1,Schizophrenia,schizophrenia,'-,GCST003048,1:213974546
rs6917512-<b>C</b>,"2 x 10-6",,NR,1.0526316,'-,[NR],'-,Schizophrenia,schizophrenia,'-,GCST003048,6:40860546
rs6918586-<b>T</b>,"6 x 10-10",,NR,1.07,'-,[NR],HFE,Schizophrenia,schizophrenia,'-,GCST003048,6:26097156
rs6919939-<b>A</b>,"7 x 10-6",,NR,1.05,'-,[NR],'-,Schizophrenia,schizophrenia,'-,GCST003048,6:164553981
rs6953837-<b>A</b>,"7 x 10-6",,NR,1.06,'-,[NR],"RN7SKP280, INSIG1-DT",Schizophrenia,schizophrenia,'-,GCST003048,7:155227220
rs6981717-<b>C</b>,"9 x 10-6",,NR,1.0526316,'-,[NR],MMP16,Schizophrenia,schizophrenia,'-,GCST003048,8:88176225
rs6984242-<b>G</b>,"7 x 10-10",,NR,1.0638298,'-,[NR],'-,Schizophrenia,schizophrenia,'-,GCST003048,8:59787910
rs7002619-<b>T</b>,"4 x 10-6",,NR,1.1,'-,[NR],MSR1,Schizophrenia,schizophrenia,'-,GCST003048,8:16208048
rs7008026-<b>C</b>,"6 x 10-6",,NR,1.0638298,'-,[NR],"SUMO2P20, PRDM14",Schizophrenia,schizophrenia,'-,GCST003048,8:70038045
rs7020830-<b>T</b>,"8 x 10-6",,NR,1.0526316,'-,[NR],EBLN3P,Schizophrenia,schizophrenia,'-,GCST003048,9:37085187
rs7099380-<b>A</b>,"1 x 10-6",,NR,1.05,'-,[NR],CACNB2,Schizophrenia,schizophrenia,'-,GCST003048,10:18260087
rs710369-<b>C</b>,"7 x 10-7",,NR,1.1363636,'-,[NR],LINC02144,Schizophrenia,schizophrenia,'-,GCST003048,5:87799433
rs7122181-<b>T</b>,"2 x 10-7",,NR,1.0526316,'-,[NR],MTND4LP18,Schizophrenia,schizophrenia,'-,GCST003048,11:81491868
rs7127399-<b>G</b>,"6 x 10-6",,NR,1.0526316,'-,[NR],"OR8Q1P, OR8A1",Schizophrenia,schizophrenia,'-,GCST003048,11:124591378
rs71391092-<b>C</b>,"8 x 10-6",,NR,1.07,'-,[NR],GLG1,Schizophrenia,schizophrenia,'-,GCST003048,16:74533177
rs715170-<b>C</b>,"1 x 10-8",,NR,1.0752687,'-,[NR],"LINC01905, LINC01539",Schizophrenia,schizophrenia,'-,GCST003048,18:56128283
rs7194676-<b>C</b>,"2 x 10-6",,NR,1.0638298,'-,[NR],ZCCHC14,Schizophrenia,schizophrenia,'-,GCST003048,16:87456285
rs7266699-<b>C</b>,"4 x 10-6",,NR,1.0638298,'-,[NR],PHACTR3,Schizophrenia,schizophrenia,'-,GCST003048,20:59678383
rs7267348-<b>C</b>,"5 x 10-8",,NR,1.0638298,'-,[NR],'-,Schizophrenia,schizophrenia,'-,GCST003048,"Mapping not available"
rs72697068-<b>A</b>,"8 x 10-6",,NR,1.11,'-,[NR],NPY1R,Schizophrenia,schizophrenia,'-,GCST003048,4:163272521
rs72700829-<b>C</b>,"3 x 10-8",,NR,1.1363636,'-,[NR],MCL1,Schizophrenia,schizophrenia,'-,GCST003048,1:150567705
rs72749142-<b>G</b>,"3 x 10-6",,NR,1.0752687,'-,[NR],KIF21B,Schizophrenia,schizophrenia,'-,GCST003048,1:200982179
rs72793138-<b>A</b>,"4 x 10-6",,NR,1.14,'-,[NR],PCDH15,Schizophrenia,schizophrenia,'-,GCST003048,10:53721128
rs72882854-<b>A</b>,"6 x 10-6",,NR,1.06,'-,[NR],"SCN9A, SCN1A-AS1",Schizophrenia,schizophrenia,'-,GCST003048,2:166304860
rs72925918-<b>G</b>,"7 x 10-6",,NR,1.0752687,'-,[NR],HNRNPA1P47,Schizophrenia,schizophrenia,'-,GCST003048,2:194215175
rs72926932-<b>A</b>,"2 x 10-6",,NR,1.1,'-,[NR],TCF4,Schizophrenia,schizophrenia,'-,GCST003048,18:55383415
rs7531932-<b>A</b>,"4 x 10-6",,NR,1.05,'-,[NR],NEGR1,Schizophrenia,schizophrenia,'-,GCST003048,1:71668902
rs7537052-<b>G</b>,"3 x 10-7",,NR,1.0638298,'-,[NR],TRAPPC3,Schizophrenia,schizophrenia,'-,GCST003048,1:36151340
