"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs112635299-<b>T</b>,"8 x 10-10",,0.0193,'-,"0.1363 unit decrease",[0.093-0.18],"SERPINA2, SERPINA1","Coronary artery disease","coronary artery disease",'-,GCST005195,14:94371805
rs10093110-<b>A</b>,"2 x 10-8",,0.4167,'-,"0.0319 unit decrease",[0.021-0.043],"ZFPM2, ZFPM2-AS1","Coronary artery disease","coronary artery disease",'-,GCST005195,8:105553186
rs4266144-<b>C</b>,"1 x 10-8",,0.6774,'-,"0.0346 unit decrease",[0.023-0.047],LINC00881,"Coronary artery disease","coronary artery disease",'-,GCST005195,3:157134803
rs17581137-<b>A</b>,"1 x 10-8",,0.754,'-,"0.0373 unit increase",[0.025-0.05],LINC00924,"Coronary artery disease","coronary artery disease",'-,GCST005195,15:95603185
rs1321309-<b>A</b>,"3 x 10-8",,0.4907,'-,"0.028 unit increase",[0.018-0.038],"RNU1-88P, Y_RNA","Coronary artery disease","coronary artery disease",'-,GCST005195,6:36670859
rs11838267-<b>T</b>,"6 x 10-10",,0.8679,'-,"0.0514 unit increase",[0.035-0.068],C1S,"Coronary artery disease","coronary artery disease",'-,GCST005195,12:7068568
rs2107732-<b>A</b>,"4 x 10-8",,0.0874,'-,"0.0567 unit decrease",[0.037-0.077],CCM2,"Coronary artery disease","coronary artery disease",'-,GCST005195,7:45038379
rs11677932-<b>A</b>,"3 x 10-8",,0.3157,'-,"0.0339 unit decrease",[0.022-0.046],COL6A3,"Coronary artery disease","coronary artery disease",'-,GCST005195,2:237315312
rs60154123-<b>T</b>,"3 x 10-8",,0.1501,'-,"0.0444 unit increase",[0.029-0.06],"HHAT, ST13P19","Coronary artery disease","coronary artery disease",'-,GCST005195,1:210295654
rs3827066-<b>T</b>,"4 x 10-9",,0.1437,'-,"0.0424 unit increase",[0.028-0.057],ZNF335,"Coronary artery disease","coronary artery disease",'-,GCST005195,20:45957384
rs885150-<b>T</b>,"8 x 10-10",,0.7304,'-,"0.0355 unit decrease",[0.024-0.047],DAB2IP,"Coronary artery disease","coronary artery disease",'-,GCST005195,9:121657894
rs4613862-<b>A</b>,"7 x 10-10",,0.5314,'-,"0.0319 unit increase",[0.022-0.042],LINC02542,"Coronary artery disease","coronary artery disease",'-,GCST005195,6:81902554
rs10267593-<b>A</b>,"2 x 10-8",,0.2012,'-,"0.036 unit decrease",[0.023-0.049],MAD1L1,"Coronary artery disease","coronary artery disease",'-,GCST005195,7:1897625
rs12500824-<b>A</b>,"2 x 10-10",,0.3565,'-,"0.0336 unit increase",[0.023-0.044],SHROOM3,"Coronary artery disease","coronary artery disease",'-,GCST005195,4:76495474
rs1591805-<b>A</b>,"1 x 10-10",,0.4927,'-,"0.037 unit increase",[0.026-0.048],"MIR588, CENPW","Coronary artery disease","coronary artery disease",'-,GCST005195,6:126395918
rs17680741-<b>T</b>,"2 x 10-11",,0.7152,'-,"0.042 unit increase",[0.03-0.054],TSPAN14,"Coronary artery disease","coronary artery disease",'-,GCST005195,10:80491758
rs4754698-<b>C</b>,"7 x 10-11",,0.5399,'-,"0.0368 unit decrease",[0.026-0.048],ARHGAP42,"Coronary artery disease","coronary artery disease",'-,GCST005195,11:100761177
rs2493298-<b>A</b>,"1 x 10-9",,0.1355,'-,"0.0514 unit increase",[0.035-0.068],PRDM16,"Coronary artery disease","coronary artery disease",'-,GCST005195,1:3409348
rs11806316-<b>A</b>,"4 x 10-10",,0.3668,'-,"0.0337 unit decrease",[0.023-0.044],NGF-AS1,"Coronary artery disease","coronary artery disease",'-,GCST005195,1:115210861
rs12999907-<b>A</b>,"6 x 10-11",,0.8189,'-,"0.0482 unit increase",[0.034-0.063],'-,"Coronary artery disease","coronary artery disease",'-,GCST005195,2:164100741
rs6905288-<b>A</b>,"4 x 10-12",,0.5807,'-,"0.0386 unit increase",[0.028-0.05],"VEGFA, LINC02537","Coronary artery disease","coronary artery disease",'-,GCST005195,6:43791136
rs7696431-<b>T</b>,"3 x 10-8",,0.5098,'-,"0.0311 unit increase",[0.02-0.042],PALLD,"Coronary artery disease","coronary artery disease",'-,GCST005195,4:168766574
rs4918072-<b>A</b>,"1 x 10-9",,0.2713,'-,"0.0386 unit increase",[0.026-0.051],"SLK, STN1","Coronary artery disease","coronary artery disease",'-,GCST005195,10:103933886
rs7617773-<b>T</b>,"3 x 10-11",,0.6693,'-,"0.0355 unit increase",[0.025-0.046],"CDC25A, RN7SL664P","Coronary artery disease","coronary artery disease",'-,GCST005195,3:48152025
rs9349379-<b>A</b>,"3 x 10-77",,0.588,'-,"0.121 unit decrease",[0.11-0.13],PHACTR1,"Coronary artery disease","coronary artery disease",'-,GCST005194,6:12903725
rs12214416-<b>A</b>,"9 x 10-7",,0.048,'-,"0.069 unit decrease",[0.042-0.096],LPAL2,"Coronary artery disease","coronary artery disease",'-,GCST005194,6:160489485
rs147555597-<b>A</b>,"3 x 10-31",,0.009,'-,"0.398 unit increase",[0.33-0.46],LPAL2,"Coronary artery disease","coronary artery disease",'-,GCST005194,6:160490564
rs55730499-<b>T</b>,"3 x 10-154",,0.069,'-,"0.337 unit increase",[0.31-0.36],LPA,"Coronary artery disease","coronary artery disease",'-,GCST005194,6:160584578
rs140570886-<b>T</b>,"3 x 10-87",,0.983,'-,"0.481 unit decrease",[0.43-0.53],LPA,"Coronary artery disease","coronary artery disease",'-,GCST005194,6:160591981
rs73596816-<b>A</b>,"3 x 10-10",,0.033,'-,"0.118 unit increase",[0.081-0.155],LPA,"Coronary artery disease","coronary artery disease",'-,GCST005194,6:160596331
rs145099029-<b>A</b>,"5 x 10-7",,0.993,'-,"0.204 unit decrease",[0.13-0.28],'-,"Coronary artery disease","coronary artery disease",'-,GCST005194,6:160871806
rs145542470-<b>A</b>,"6 x 10-10",,0.018,'-,"0.158 unit increase",[0.11-0.21],"MTAP, CDKN2A-DT","Coronary artery disease","coronary artery disease",'-,GCST005194,9:21953100
rs2891168-<b>A</b>,"5 x 10-204",,0.525,'-,"0.189 unit decrease",[0.18-0.2],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST005194,9:22098620
rs36096196-<b>T</b>,"1 x 10-8",,0.1483,'-,"0.0469 unit increase",[0.031-0.063],"MORN1, SKI","Coronary artery disease","coronary artery disease",'-,GCST005195,1:2320766
rs76954792-<b>T</b>,"1 x 10-8",,0.2197,'-,"0.0393 unit increase",[0.026-0.053],"RNU6-1134P, MIR365B","Coronary artery disease","coronary artery disease",'-,GCST005195,17:31706495
rs7797644-<b>T</b>,"2 x 10-8",,0.2321,'-,"0.0386 unit decrease",[0.025-0.052],"KDELR2, DAGLB","Coronary artery disease","coronary artery disease",'-,GCST005195,7:6446436
rs4752700-<b>A</b>,"8 x 10-11",,0.5508,'-,"0.0332 unit decrease",[0.023-0.043],HTRA1,"Coronary artery disease","coronary artery disease",'-,GCST005195,10:122478096
rs975722-<b>A</b>,"4 x 10-8",,0.595,'-,"0.0283 unit decrease",[0.018-0.038],CFTR,"Coronary artery disease","coronary artery disease",'-,GCST005195,7:117692860
rs260020-<b>T</b>,"8 x 10-10",,0.1309,'-,"0.0518 unit increase",[0.035-0.068],ZNF831,"Coronary artery disease","coronary artery disease",'-,GCST005195,20:59138970
rs667920-<b>T</b>,"6 x 10-15",,0.7751,'-,"0.0489 unit increase",[0.037-0.061],STAG1,"Coronary artery disease","coronary artery disease",'-,GCST005195,3:136350630
rs3936511-<b>A</b>,"4 x 10-8",,0.823,'-,"0.0366 unit decrease",[0.023-0.05],C5orf67,"Coronary artery disease","coronary artery disease",'-,GCST005195,5:56564954
rs6102343-<b>A</b>,"1 x 10-8",,0.2467,'-,"0.0372 unit increase",[0.024-0.05],ZHX3,"Coronary artery disease","coronary artery disease",'-,GCST005195,20:41295639
rs7633770-<b>A</b>,"1 x 10-8",,0.4061,'-,"0.0295 unit increase",[0.019-0.04],"ALS2CL, FAM240A","Coronary artery disease","coronary artery disease",'-,GCST005195,3:46647072
rs2145598-<b>A</b>,"4 x 10-8",,0.5758,'-,"0.0283 unit decrease",[0.018-0.038],ARID4A,"Coronary artery disease","coronary artery disease",'-,GCST005195,14:58327283
rs7116641-<b>T</b>,"1 x 10-8",,0.6877,'-,"0.0314 unit decrease",[0.021-0.042],"MIR129-2, HSD17B12","Coronary artery disease","coronary artery disease",'-,GCST005195,11:43675367
rs3775058-<b>A</b>,"8 x 10-9",,0.2341,'-,"0.0386 unit increase",[0.025-0.052],UNC5C,"Coronary artery disease","coronary artery disease",'-,GCST005195,4:95196220
rs61848342-<b>T</b>,"6 x 10-10",,0.6355,'-,"0.0363 unit decrease",[0.025-0.048],"RN7SL198P, CDC123","Coronary artery disease","coronary artery disease",'-,GCST005195,10:12261814
rs582384-<b>A</b>,"8 x 10-9",,0.5251,'-,"0.0332 unit increase",[0.022-0.045],PRKCE,"Coronary artery disease","coronary artery disease",'-,GCST005195,2:45669298
rs17080091-<b>T</b>,"6 x 10-9",,0.0839,'-,"0.0537 unit decrease",[0.036-0.072],PLEKHG1,"Coronary artery disease","coronary artery disease",'-,GCST005195,6:150676265
rs10778546-<b>A</b>,"9 x 10-6",,0.611,'-,"0.029 unit increase",[0.015-0.043],BTBD11,"Coronary artery disease","coronary artery disease",'-,GCST005194,12:107358300
rs603424-<b>A</b>,"3 x 10-6",,0.215,'-,"0.033 unit increase",[0.019-0.047],PKD2L1,"Coronary artery disease","coronary artery disease",'-,GCST005194,10:100315722
rs2235642-<b>T</b>,"8 x 10-6",,0.633,'-,"0.027 unit decrease",[0.015-0.039],"TMEM204, IFT140","Coronary artery disease","coronary artery disease",'-,GCST005194,16:1534865
rs56307353-<b>T</b>,"8 x 10-6",,0.533,'-,"0.03 unit increase",[0.016-0.044],CSNK1G2,"Coronary artery disease","coronary artery disease",'-,GCST005194,19:1946186
rs12713421-<b>A</b>,"7 x 10-6",,0.352,'-,"0.031 unit increase",[0.017-0.045],MIR4432HG,"Coronary artery disease","coronary artery disease",'-,GCST005194,2:60399170
rs5993586-<b>T</b>,"7 x 10-6",,0.072,'-,"0.064 unit decrease",[0.037-0.091],"HIRA, CLTCL1","Coronary artery disease","coronary artery disease",'-,GCST005194,22:19304503
rs6426551-<b>A</b>,"7 x 10-6",,0.254,'-,"0.033 unit increase",[0.019-0.047],"YBX1P9, PARP1","Coronary artery disease","coronary artery disease",'-,GCST005194,1:226354348
rs60724295-<b>A</b>,"7 x 10-6",,0.912,'-,"0.059 unit decrease",[0.034-0.084],SLC25A21,"Coronary artery disease","coronary artery disease",'-,GCST005194,14:36977398
rs4836390-<b>T</b>,"6 x 10-6",,0.85,'-,"0.04 unit decrease",[0.022-0.058],SLC27A6,"Coronary artery disease","coronary artery disease",'-,GCST005194,5:128675995
rs3741380-<b>A</b>,"3 x 10-10",,0.476,'-,"0.041 unit increase",[0.027-0.055],EHBP1L1,"Coronary artery disease","coronary artery disease",'-,GCST005194,11:65581592
rs4394694-<b>A</b>,"6 x 10-6",,0.236,'-,"0.034 unit increase",[0.018-0.05],DPYD,"Coronary artery disease","coronary artery disease",'-,GCST005194,1:97905893
rs12144309-<b>T</b>,"6 x 10-6",,0.188,'-,"0.037 unit decrease",[0.021-0.053],RSBN1,"Coronary artery disease","coronary artery disease",'-,GCST005194,1:113772871
rs13092876-<b>A</b>,"6 x 10-6",,0.333,'-,"0.031 unit increase",[0.017-0.045],IGF2BP2,"Coronary artery disease","coronary artery disease",'-,GCST005194,3:185777532
rs294883-<b>T</b>,"5 x 10-6",,0.707,'-,"0.032 unit decrease",[0.018-0.046],FNDC1,"Coronary artery disease","coronary artery disease",'-,GCST005194,6:159261174
rs112001543-<b>T</b>,"5 x 10-6",,0.961,'-,"0.075 unit decrease",[0.044-0.106],XKR4,"Coronary artery disease","coronary artery disease",'-,GCST005194,8:55158830
rs6905628-<b>C</b>,"4 x 10-6",,0.31,'-,"0.032 unit increase",[0.018-0.046],LYRM2,"Coronary artery disease","coronary artery disease",'-,GCST005194,6:89635150
rs13035055-<b>T</b>,"4 x 10-6",,0.656,'-,"0.033 unit increase",[0.019-0.047],"HNRNPKP2, UBBP1","Coronary artery disease","coronary artery disease",'-,GCST005194,2:136240494
rs587648-<b>T</b>,"1 x 10-6",,0.16,'-,"0.045 unit increase",[0.027-0.063],"SLC9A8, SPATA2","Coronary artery disease","coronary artery disease",'-,GCST005194,20:49900976
rs360798-<b>A</b>,"4 x 10-6",,0.815,'-,"0.038 unit increase",[0.022-0.054],EHBP1,"Coronary artery disease","coronary artery disease",'-,GCST005194,2:62723300
rs13102675-<b>T</b>,"9 x 10-7",,0.639,'-,"0.032 unit decrease",[0.018-0.046],'-,"Coronary artery disease","coronary artery disease",'-,GCST005194,4:124978810
rs62139085-<b>A</b>,"8 x 10-7",,0.251,'-,"0.037 unit increase",[0.023-0.051],"ACTR2, SPRED2","Coronary artery disease","coronary artery disease",'-,GCST005194,2:65280779
rs11809443-<b>T</b>,"8 x 10-7",,0.786,'-,"0.038 unit decrease",[0.022-0.054],"FAM96AP2, GUK1","Coronary artery disease","coronary artery disease",'-,GCST005194,1:228138791
rs117204111-<b>A</b>,"2 x 10-6",,0.023,'-,"0.111 unit decrease",[0.066-0.156],"CD3D, CD3E","Coronary artery disease","coronary artery disease",'-,GCST005194,11:118328710
rs1185460-<b>A</b>,"8 x 10-7",,0.593,'-,"0.032 unit decrease",[0.018-0.046],VPS11,"Coronary artery disease","coronary artery disease",'-,GCST005194,11:119072723
rs61403071-<b>T</b>,"8 x 10-7",,0.288,'-,"0.034 unit increase",[0.02-0.048],"LINC02188, FOXL1","Coronary artery disease","coronary artery disease",'-,GCST005194,16:86666118
rs28522673-<b>C</b>,"3 x 10-6",,0.17,'-,"0.039 unit increase",[0.023-0.055],LOXL1,"Coronary artery disease","coronary artery disease",'-,GCST005194,15:73931375
rs59950280-<b>A</b>,"2 x 10-6",,0.341,'-,"0.033 unit increase",[0.019-0.047],"DOK7, HGFAC","Coronary artery disease","coronary artery disease",'-,GCST005194,4:3450618
rs17398575-<b>A</b>,"7 x 10-6",,0.241,'-,"0.033 unit increase",[0.019-0.047],"LINC02577, CCDC71L","Coronary artery disease","coronary artery disease",'-,GCST005194,7:106769006
rs7809950-<b>T</b>,"4 x 10-8",,0.283,'-,"0.039 unit increase",[0.025-0.053],"BCAP29, DUS4L-BCAP29","Coronary artery disease","coronary artery disease",'-,GCST005194,7:107597362
rs6001960-<b>A</b>,"3 x 10-8",,0.282,'-,"0.04 unit increase",[0.026-0.054],MRTFA,"Coronary artery disease","coronary artery disease",'-,GCST005194,22:40547028
rs34156428-<b>A</b>,"2 x 10-8",,0.837,'-,"0.048 unit increase",[0.03-0.066],SOX6,"Coronary artery disease","coronary artery disease",'-,GCST005194,11:16460403
rs57677839-<b>A</b>,"1 x 10-6",,0.588,'-,"0.033 unit decrease",[0.019-0.047],PLEKHA7,"Coronary artery disease","coronary artery disease",'-,GCST005194,11:17006642
rs3936510-<b>T</b>,"4 x 10-8",,0.186,'-,"0.039 unit increase",[0.025-0.053],C5orf67,"Coronary artery disease","coronary artery disease",'-,GCST005194,5:56565039
rs62390615-<b>A</b>,"4 x 10-8",,0.878,'-,"0.055 unit increase",[0.035-0.075],"GMDS, FOXC1","Coronary artery disease","coronary artery disease",'-,GCST005194,6:1616030
rs6541297-<b>A</b>,"7 x 10-6",,0.78,'-,"0.035 unit decrease",[0.019-0.051],GALNT2,"Coronary artery disease","coronary artery disease",'-,GCST005194,1:230147759
rs147802096-<b>A</b>,"1 x 10-6",,0.924,'-,"0.057 unit decrease",[0.033-0.081],"RNU1-88P, Y_RNA","Coronary artery disease","coronary artery disease",'-,GCST005194,6:36672808
rs116161686-<b>A</b>,"9 x 10-8",,0.138,'-,"0.05 unit increase",[0.032-0.068],"HHAT, ST13P19","Coronary artery disease","coronary artery disease",'-,GCST005194,1:210300277
rs76954792-<b>T</b>,"2 x 10-8",,0.219,'-,"0.043 unit increase",[0.027-0.059],"RNU6-1134P, MIR365B","Coronary artery disease","coronary artery disease",'-,GCST005194,17:31706495
rs6460942-<b>T</b>,"2 x 10-6",,0.872,'-,"0.047 unit increase",[0.027-0.067],VWDE,"Coronary artery disease","coronary artery disease",'-,GCST005194,7:12381363
rs7696431-<b>T</b>,"3 x 10-8",,0.509,'-,"0.035 unit increase",[0.023-0.047],PALLD,"Coronary artery disease","coronary artery disease",'-,GCST005194,4:168766574
rs4496284-<b>A</b>,"4 x 10-7",,0.418,'-,"0.033 unit decrease",[0.019-0.047],COL6A3,"Coronary artery disease","coronary artery disease",'-,GCST005194,2:237311587
rs28416651-<b>A</b>,"1 x 10-8",,0.41,'-,"0.036 unit decrease",[0.024-0.048],"ZFPM2, ZFPM2-AS1","Coronary artery disease","coronary artery disease",'-,GCST005194,8:105552424
rs10951983-<b>A</b>,"1 x 10-7",,0.785,'-,"0.038 unit increase",[0.024-0.052],"RAC1, DAGLB","Coronary artery disease","coronary artery disease",'-,GCST005194,7:6406396
rs1008898-<b>T</b>,"2 x 10-6",,0.215,'-,"0.037 unit increase",[0.021-0.053],C1GALT1,"Coronary artery disease","coronary artery disease",'-,GCST005194,7:7233928
rs1692580-<b>T</b>,"2 x 10-7",,0.567,'-,"0.034 unit increase",[0.022-0.046],"FAAP20, SKI","Coronary artery disease","coronary artery disease",'-,GCST005194,1:2226509
rs36096196-<b>T</b>,"1 x 10-8",,0.148,'-,"0.053 unit increase",[0.035-0.071],"MORN1, SKI","Coronary artery disease","coronary artery disease",'-,GCST005194,1:2320766
rs4266144-<b>C</b>,"3 x 10-8",,0.674,'-,"0.038 unit decrease",[0.024-0.052],LINC00881,"Coronary artery disease","coronary artery disease",'-,GCST005194,3:157134803
rs2679053-<b>A</b>,"1 x 10-7",,0.404,'-,"0.034 unit increase",[0.02-0.048],"HSD17B12, MIR129-2","Coronary artery disease","coronary artery disease",'-,GCST005194,11:43583754
rs582384-<b>A</b>,"8 x 10-9",,0.523,'-,"0.037 unit increase",[0.023-0.051],PRKCE,"Coronary artery disease","coronary artery disease",'-,GCST005194,2:45669298
rs1434538-<b>T</b>,"6 x 10-8",,0.532,'-,"0.034 unit decrease",[0.022-0.046],BMPR1B,"Coronary artery disease","coronary artery disease",'-,GCST005194,4:95145521
rs11760633-<b>T</b>,"4 x 10-6",,0.165,'-,"0.04 unit decrease",[0.022-0.058],"ELFN1, MAD1L1","Coronary artery disease","coronary artery disease",'-,GCST005194,7:1813117
rs1623003-<b>T</b>,"6 x 10-7",,0.667,'-,"0.034 unit decrease",[0.02-0.048],NPC1,"Coronary artery disease","coronary artery disease",'-,GCST005194,18:23585199
rs13088645-<b>A</b>,"5 x 10-7",,0.424,'-,"0.033 unit increase",[0.019-0.047],"ANAPC13, HMGB3P13","Coronary artery disease","coronary artery disease",'-,GCST005194,3:134438421
rs216158-<b>C</b>,"5 x 10-7",,0.589,'-,"0.033 unit increase",[0.019-0.047],MYH11,"Coronary artery disease","coronary artery disease",'-,GCST005194,16:15823981
rs35099186-<b>T</b>,"1 x 10-6",,0.782,'-,"0.038 unit increase",[0.022-0.054],ST3GAL4,"Coronary artery disease","coronary artery disease",'-,GCST005194,11:126384371
rs2454899-<b>A</b>,"4 x 10-7",,0.367,'-,"0.034 unit decrease",[0.02-0.048],LINC01950,"Coronary artery disease","coronary artery disease",'-,GCST005194,5:106929424
rs4800401-<b>T</b>,"4 x 10-7",,0.582,'-,"0.033 unit increase",[0.021-0.045],ATP7BP1,"Coronary artery disease","coronary artery disease",'-,GCST005194,18:22423662
rs12154802-<b>A</b>,"3 x 10-7",,0.313,'-,"0.037 unit decrease",[0.023-0.051],TBX20,"Coronary artery disease","coronary artery disease",'-,GCST005194,7:35217909
rs67807996-<b>A</b>,"7 x 10-6",,0.364,'-,"0.034 unit increase",[0.018-0.05],"OTUD7B, VPS45","Coronary artery disease","coronary artery disease",'-,GCST005194,1:150023307
rs35006-<b>C</b>,"2 x 10-7",,0.697,'-,"0.035 unit increase",[0.021-0.049],ARL15,"Coronary artery disease","coronary artery disease",'-,GCST005194,5:54146895
rs10961206-<b>A</b>,"2 x 10-7",,0.901,'-,"0.057 unit increase",[0.035-0.079],'-,"Coronary artery disease","coronary artery disease",'-,GCST005194,9:13724052
rs10121140-<b>A</b>,"4 x 10-6",,0.322,'-,"0.031 unit decrease",[0.017-0.045],NFIB,"Coronary artery disease","coronary artery disease",'-,GCST005194,9:14292721
rs10055631-<b>A</b>,"2 x 10-6",,0.739,'-,"0.035 unit increase",[0.021-0.049],MAST4,"Coronary artery disease","coronary artery disease",'-,GCST005194,5:67009610
rs256277-<b>T</b>,"2 x 10-7",,0.623,'-,"0.035 unit increase",[0.021-0.049],"EPB41L4A, NREP-AS1","Coronary artery disease","coronary artery disease",'-,GCST005194,5:112071113
rs60787346-<b>A</b>,"5 x 10-6",,0.701,'-,"0.032 unit decrease",[0.018-0.046],HSF2BP,"Coronary artery disease","coronary artery disease",'-,GCST005194,21:43590437
rs111684993-<b>A</b>,"3 x 10-7",,0.64,'-,"0.034 unit decrease",[0.02-0.048],"CIBAR1P1, INO80","Coronary artery disease","coronary artery disease",'-,GCST005194,15:41144539
rs11690462-<b>A</b>,"2 x 10-7",,0.316,'-,"0.036 unit decrease",[0.022-0.05],SELENOI,"Coronary artery disease","coronary artery disease",'-,GCST005194,2:26367659
rs1291621-<b>A</b>,"2 x 10-7",,0.022,'-,"0.128 unit increase",[0.081-0.175],SCAF11,"Coronary artery disease","coronary artery disease",'-,GCST005194,12:45947038
rs13010737-<b>A</b>,"7 x 10-7",,0.313,'-,"0.035 unit decrease",[0.021-0.049],ARHGAP15,"Coronary artery disease","coronary artery disease",'-,GCST005194,2:143442474
rs877549-<b>A</b>,"1 x 10-7",,0.118,'-,"0.047 unit increase",[0.029-0.065],"OSM, CASTOR1","Coronary artery disease","coronary artery disease",'-,GCST005194,22:30276431
rs4345206-<b>T</b>,"9 x 10-8",,0.464,'-,"0.034 unit increase",[0.022-0.046],ZNF827,"Coronary artery disease","coronary artery disease",'-,GCST005194,4:145845384
rs4753788-<b>A</b>,"7 x 10-8",,0.537,'-,"0.034 unit decrease",[0.022-0.046],ASS1P13,"Coronary artery disease","coronary artery disease",'-,GCST005194,11:107221129
rs2546343-<b>T</b>,"7 x 10-7",,0.647,'-,"0.034 unit decrease",[0.02-0.048],PRDM6,"Coronary artery disease","coronary artery disease",'-,GCST005194,5:123098971
rs12315434-<b>A</b>,"5 x 10-7",,0.796,'-,"0.04 unit increase",[0.024-0.056],R3HDM2,"Coronary artery disease","coronary artery disease",'-,GCST005194,12:57387153
rs2107732-<b>A</b>,"2 x 10-7",,0.087,'-,"0.061 unit decrease",[0.037-0.085],CCM2,"Coronary artery disease","coronary artery disease",'-,GCST005194,7:45038379
